                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 0.6275,                 1.0074,                0.91576,                0.99687,                 0.7572,                0.92013,                0.81252,                0.47388,                 2.1886,                 0.8042,             0.00028927,             0.00028927,             0.00028927
                     75,                0.57128,                0.96763,                0.90368,                0.97917,                 0.7802,                  0.995,                0.90249,                0.45634,                 2.0521,                0.80172,             0.00028276,             0.00028276,             0.00028276
                     76,                 0.5816,                0.97681,                0.89854,                0.97917,                 0.7802,                  0.995,                0.90249,                0.45634,                 2.0521,                0.80172,             0.00027598,             0.00027598,             0.00027598
                     77,                0.48258,                0.81462,                 0.8835,                0.97917,                 0.7802,                  0.995,                0.90249,                0.45634,                 2.0521,                0.80172,              0.0002689,              0.0002689,              0.0002689
                     78,                0.65286,                0.94956,                0.90943,                0.94754,                      1,                  0.995,                 0.9043,                0.46068,                 1.9223,                0.80116,             0.00026155,             0.00026155,             0.00026155
                     79,                0.54134,                0.89067,                0.89652,                0.94754,                      1,                  0.995,                 0.9043,                0.46068,                 1.9223,                0.80116,             0.00025391,             0.00025391,             0.00025391
                     80,                0.55238,                 1.0134,                0.89634,                0.94754,                      1,                  0.995,                 0.9043,                0.46068,                 1.9223,                0.80116,             0.00024599,             0.00024599,             0.00024599
                     81,                0.65472,                0.97628,                0.97892,                0.90049,                      1,                  0.995,                0.91282,                0.46224,                 1.8272,                 0.8017,             0.00023779,             0.00023779,             0.00023779
                     82,                0.51167,                0.86092,                0.81988,                0.90049,                      1,                  0.995,                0.91282,                0.46224,                 1.8272,                 0.8017,              0.0002293,              0.0002293,              0.0002293
                     83,                0.69057,                 1.0148,                0.84917,                0.90049,                      1,                  0.995,                0.91282,                0.46224,                 1.8272,                 0.8017,             0.00022053,             0.00022053,             0.00022053
                     84,                0.59508,                0.84405,                0.97332,                0.90246,                      1,                  0.995,                0.90454,                0.45038,                 1.7403,                0.79909,             0.00021148,             0.00021148,             0.00021148
                     85,                0.55859,                 1.1083,                 1.0324,                0.90246,                      1,                  0.995,                0.90454,                0.45038,                 1.7403,                0.79909,             0.00020214,             0.00020214,             0.00020214
                     86,                0.54847,                 1.3718,                0.94383,                0.90246,                      1,                  0.995,                0.90454,                0.45038,                 1.7403,                0.79909,             0.00019252,             0.00019252,             0.00019252
                     87,                0.56783,                0.94507,                0.86217,                0.90246,                      1,                  0.995,                0.90454,                0.45038,                 1.7403,                0.79909,             0.00018262,             0.00018262,             0.00018262
                     88,                0.61273,                0.83628,                0.89631,                 0.9241,                      1,                  0.995,                0.91358,                0.43874,                 1.6084,                0.79801,             0.00017244,             0.00017244,             0.00017244
                     89,                0.52481,                0.82156,                0.87053,                 0.9241,                      1,                  0.995,                0.91358,                0.43874,                 1.6084,                0.79801,             0.00016197,             0.00016197,             0.00016197
                     90,                0.49821,                0.71967,                0.90078,                 0.9241,                      1,                  0.995,                0.91358,                0.43874,                 1.6084,                0.79801,             0.00015122,             0.00015122,             0.00015122
                     91,                0.47172,                0.93731,                0.87018,                 0.9241,                      1,                  0.995,                0.91358,                0.43874,                 1.6084,                0.79801,             0.00014018,             0.00014018,             0.00014018
                     92,                0.47538,                0.87019,                0.90834,                0.94559,                      1,                  0.995,                0.91446,                0.42467,                 1.5481,                0.79406,             0.00012887,             0.00012887,             0.00012887
                     93,                0.43918,                0.95419,                 0.8666,                0.94559,                      1,                  0.995,                0.91446,                0.42467,                 1.5481,                0.79406,             0.00011727,             0.00011727,             0.00011727
                     94,                0.53178,                  1.003,                0.84762,                0.94559,                      1,                  0.995,                0.91446,                0.42467,                 1.5481,                0.79406,             0.00010539,             0.00010539,             0.00010539
                     95,                0.48061,                0.92679,                0.84701,                0.94559,                      1,                  0.995,                0.91446,                0.42467,                 1.5481,                0.79406,             9.3222e-05,             9.3222e-05,             9.3222e-05
                     96,                0.45941,                0.83502,                 0.8261,                0.95477,                      1,                  0.995,                0.89945,                0.41307,                 1.4807,                0.79241,             8.0774e-05,             8.0774e-05,             8.0774e-05
                     97,                0.50854,                0.98604,                0.89291,                0.95477,                      1,                  0.995,                0.89945,                0.41307,                 1.4807,                0.79241,             6.8043e-05,             6.8043e-05,             6.8043e-05
                     98,                0.43165,                 0.8883,                0.91812,                0.95477,                      1,                  0.995,                0.89945,                0.41307,                 1.4807,                0.79241,             5.5029e-05,             5.5029e-05,             5.5029e-05
                     99,                0.41417,                0.93558,                0.86956,                0.95477,                      1,                  0.995,                0.89945,                0.41307,                 1.4807,                0.79241,             4.1733e-05,             4.1733e-05,             4.1733e-05
                    100,                0.47064,                0.84232,                0.87449,                0.96014,                      1,                  0.995,                0.91048,                 0.4073,                 1.3969,                0.79283,             2.8153e-05,             2.8153e-05,             2.8153e-05
