                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.49812,                0.80766,                 1.2011,                0.81413,                0.71978,                0.62873,                0.81178,                0.73391,                0.71978,                0.62873,                0.81178,                0.52213,                 0.4271,                 1.5198,                 1.7904,                0.75851,             0.00056105,             0.00056105,             0.00056105
                     52,                0.47887,                 0.9416,                 1.1256,                0.81129,                0.74333,                 0.8152,                0.80633,                0.72451,                0.74333,                 0.8152,                0.80633,                0.54469,                0.37208,                 1.3614,                 1.5885,                0.74967,             0.00056105,             0.00056105,             0.00056105
                     53,                0.47433,                0.99308,                 1.1355,                0.81159,                0.74333,                 0.8152,                0.80633,                0.72451,                0.74333,                 0.8152,                0.80633,                0.54469,                0.37208,                 1.3614,                 1.5885,                0.74967,             0.00055006,             0.00055006,             0.00055006
                     54,                0.50606,                0.91537,                 1.1609,                0.80971,                0.72745,                0.80133,                0.82724,                0.75106,                0.72745,                0.80133,                0.82724,                0.56119,                0.36634,                 1.2263,                 1.4839,                0.74757,             0.00053906,             0.00053906,             0.00053906
                     55,                0.44961,                0.82081,                 1.0541,                0.80941,                0.72745,                0.80133,                0.82724,                0.75106,                0.72745,                0.80133,                0.82724,                0.56119,                0.36634,                 1.2263,                 1.4839,                0.74757,             0.00052806,             0.00052806,             0.00052806
                     56,                0.45976,                0.81283,                 1.0566,                0.81009,                0.72337,                0.82588,                0.83068,                0.76616,                0.72337,                0.82588,                0.83068,                0.58473,                0.34305,                 1.1172,                 1.3865,                0.74414,             0.00051706,             0.00051706,             0.00051706
                     57,                0.47474,                 1.0253,                 1.0619,                  0.834,                0.72337,                0.82588,                0.83068,                0.76616,                0.72337,                0.82588,                0.83068,                0.58473,                0.34305,                 1.1172,                 1.3865,                0.74414,             0.00050606,             0.00050606,             0.00050606
                     58,                0.45214,                0.83493,                 1.0756,                0.82307,                0.72235,                 0.9281,                0.84076,                0.79328,                0.72235,                 0.9281,                0.84076,                 0.6429,                0.32807,                0.99341,                 1.2885,                0.74231,             0.00049506,             0.00049506,             0.00049506
                     59,                0.45909,                0.79767,                 1.0883,                0.80911,                0.72235,                 0.9281,                0.84076,                0.79328,                0.72235,                 0.9281,                0.84076,                 0.6429,                0.32807,                0.99341,                 1.2885,                0.74231,             0.00048406,             0.00048406,             0.00048406
                     60,                0.46615,                0.88321,                 1.1175,                0.81011,                0.71856,                0.97917,                0.85583,                0.80289,                0.71856,                0.97917,                0.85583,                0.65701,                0.36004,                0.94877,                 1.1999,                0.74771,             0.00047306,             0.00047306,             0.00047306
