                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.41162,                0.70819,                  1.198,                0.84316,                0.98179,                0.44532,                0.55866,                0.52429,                0.98573,                0.43488,                0.52577,                0.44154,                0.43155,                 2.6892,                 2.1439,                0.85885,             0.00026863,             0.00026863,             0.00026863
                     72,                 0.4192,                 0.7793,                 1.2331,                0.80145,                0.92178,                   0.45,                 0.5621,                0.53471,                0.94293,                   0.45,                0.53431,                0.45685,                0.45013,                 2.4313,                 2.1454,                0.86864,             0.00026368,             0.00026368,             0.00026368
                     73,                0.43207,                 1.0398,                 1.1864,                0.82199,                0.92178,                   0.45,                 0.5621,                0.53471,                0.94293,                   0.45,                0.53431,                0.45685,                0.45013,                 2.4313,                 2.1454,                0.86864,             0.00025848,             0.00025848,             0.00025848
                     74,                0.46898,                0.99538,                 1.2504,                0.82868,                0.92178,                   0.45,                 0.5621,                0.53471,                0.94293,                   0.45,                0.53431,                0.45685,                0.45013,                 2.4313,                 2.1454,                0.86864,             0.00025304,             0.00025304,             0.00025304
                     75,                0.44091,                0.91578,                 1.2468,                0.83142,                0.65578,                0.44948,                0.59058,                0.55941,                  0.657,                0.44887,                0.56594,                 0.4814,                0.45861,                 2.2063,                 2.1154,                0.87551,             0.00024734,             0.00024734,             0.00024734
                     76,                 0.4523,                 1.1319,                 1.1116,                0.84138,                0.65578,                0.44948,                0.59058,                0.55941,                  0.657,                0.44887,                0.56594,                 0.4814,                0.45861,                 2.2063,                 2.1154,                0.87551,             0.00024141,             0.00024141,             0.00024141
                     77,                0.43321,                0.90737,                 1.1896,                0.80082,                0.65578,                0.44948,                0.59058,                0.55941,                  0.657,                0.44887,                0.56594,                 0.4814,                0.45861,                 2.2063,                 2.1154,                0.87551,             0.00023522,             0.00023522,             0.00023522
                     78,                  0.414,                0.88018,                  1.134,                0.82122,                0.64657,                   0.45,                0.58737,                0.54481,                0.65007,                   0.45,                0.56273,                0.47791,                0.45778,                  2.042,                 2.0555,                0.87803,             0.00022879,             0.00022879,             0.00022879
                     79,                0.41071,                0.67784,                 1.1993,                0.82493,                0.64657,                   0.45,                0.58737,                0.54481,                0.65007,                   0.45,                0.56273,                0.47791,                0.45778,                  2.042,                 2.0555,                0.87803,              0.0002221,              0.0002221,              0.0002221
                     80,                0.41669,                0.87844,                 1.1766,                0.80663,                0.64657,                   0.45,                0.58737,                0.54481,                0.65007,                   0.45,                0.56273,                0.47791,                0.45778,                  2.042,                 2.0555,                0.87803,             0.00021518,             0.00021518,             0.00021518
                     81,                0.44702,                0.93683,                 1.1514,                0.83972,                0.95546,                0.43464,                0.59248,                0.54815,                0.95546,                0.43464,                0.56784,                 0.4833,                0.44853,                 1.9287,                 1.9832,                0.87632,               0.000208,               0.000208,               0.000208
                     82,                0.45182,                0.96268,                 1.1583,                0.83999,                0.95546,                0.43464,                0.59248,                0.54815,                0.95546,                0.43464,                0.56784,                 0.4833,                0.44853,                 1.9287,                 1.9832,                0.87632,             0.00020058,             0.00020058,             0.00020058
                     83,                0.42992,                0.72107,                 1.1847,                0.82722,                0.95546,                0.43464,                0.59248,                0.54815,                0.95546,                0.43464,                0.56784,                 0.4833,                0.44853,                 1.9287,                 1.9832,                0.87632,             0.00019291,             0.00019291,             0.00019291
